unite;V;Past;Part	united	no
look;V;Inf	look	no
experience;V;Inf	experience	no
focus;V;Inf	focus	no
have;V;Inf	have	no
involve;V;Ger	involving	no
make;V;Ger	making	no
take;V;Fin;3	takes	no
explore;V;Ger	exploring	no
inform;V;Inf	inform	no
describe;V;Fin;3	describes	no
focus;V;Ger	focusing	no
preserve;V;Past;Part	preserved	no
build;V;Past;Part	built	no
focus;V;Past;Part	focused	no
complete;V;Past;Part	completed	no
report;V;Inf	report	no
provide;V;Past;Part	provided	no
view;V;Ger	viewing	no
assess;V;Inf	assess	no
write;V;Past;Part	written	no
discuss;V;Inf	discuss	no
bring;V;Fin;3	brings	no
establish;V;Past;Part	established	no
explore;V;Inf	explore	no
use;V;Ger	using	no
develop;V;Fin;3	develops	no
regard;V;Ger	regarding	no
gather;V;Fin;3	gathers	no
intersperse;V;Past;Part	interspersed	no
call;V;Past;Part	called	no
determine;V;Past;Part	determined	no
study;V;Ger	studying	no
offer;V;Fin;3	offers	no
depend;V;Inf	depend	no
highlight;V;Past;Part	highlighted	no
transform;V;Inf	transform	no
understand;V;Inf	understand	no
see;V;Inf	see	no
have;V;Fin;3	has	no
understand;V;Past;Part	understood	no
use;V;Ind;Past	used	no
be;V;Inf	are	no
investigate;V;Inf	investigate	no
evaluate;V;Past;Part	evaluated	no
encourage;V;Past;Part	encouraged	no
approach;V;Inf	approach	no
investigate;V;Ind;Past	investigated	no
provide;V;Fin;3	provides	no
offer;V;Inf	offer	no
play;V;Inf	play	no
determine;V;Ger	determining	no
establish;V;Inf	establish	no
influence;V;Past;Part	influenced	no
include;V;Ger	including	no
show;V;Fin;3	shows	no
lead;V;Inf	lead	no
improve;V;Past;Part	improved	no
pair;V;Ger	pairing	no
complement;V;Inf	complement	no
augment;V;Inf	augment	no
show;V;Past;Part	shown	no
produce;V;Inf	produce	no
facilitate;V;Inf	facilitate	no
quantify;V;Ger	quantifying	no
remain;V;Fin;3	remains	no
measure;V;Ger	measuring	no
expand;V;Ger	expanding	no
understand;V;Ger	understanding	no
conduct;V;Past;Part	conducted	no
enhance;V;Past;Part	enhanced	no
be;V;Fin;3	is	no
define;V;Inf	define	no
vary;V;Inf	vary	no
organize;V;Past;Part	organized	no
approximate;V;Fin;3	approximates	no
lack;V;Inf	lack	no
encompass;V;Ger	encompassing	no
distribute;V;Past;Part	distributed	no
base;V;Past;Part	based	no
assemble;V;Ger	assembling	no
tend;V;Past;Part	tended	no
avoid;V;Inf	avoid	no
assemble;V;Ind;Past	assembled	no
shed;V;Past;Part	shed	no
evolve;V;Ger	evolving	no
change;V;Ger	changing	no
document;V;Fin;3	documents	no
provide;V;Inf	provide	no
suffer;V;Inf	suffer	no
inject;V;Inf	inject	no
make;V;Inf	make	no
wash;V;Past;Part	washed	no
mask;V;Ger	masking	no
present;V;Inf	present	no
assemble;V;Inf	assemble	no
adapt;V;Past;Part	adapted	no
collect;V;Ger	collecting	no
require;V;Past;Part	required	no
do;V;Inf	do	no
provide;V;Ger	providing	no
have;V;Ger	having	no
rely;V;Inf	rely	no
study;V;Inf	study	no
change;V;Fin;3	changes	no
evaluate;V;Ger	evaluating	no
mean;V;Past;Part	meant	no
broaden;V;Inf	broaden	no
improve;V;Inf	improve	no
apply;V;Past;Part	applied	no
elucidate;V;Inf	elucidate	no
relate;V;Inf	relate	no
benefit;V;Inf	benefit	no
recollect;V;Past;Part	recollected	no
follow;V;Fin;3	follows	no
begin;V;Inf	begin	no
detail;V;Ger	detailing	no
demonstrate;V;Fin;3	demonstrates	no
compare;V;Ger	comparing	no
curate;V;Past;Part	curated	no
collect;V;Past;Part	collected	no
enable;V;Past;Part	enabled	no
use;V;Fin;3	uses	no
witness;V;Past;Part	witnessed	no
contribute;V;Past;Part	contributed	no
analyze;V;Past;Part	analyzed	no
argue;V;Fin;3	argues	no
involve;V;Inf	involve	no
outweigh;V;Inf	outweigh	no
take;V;Inf	take	no
define;V;Ind;Past	defined	no
determine;V;Inf	determine	no
affect;V;Inf	affect	no
stimulate;V;Ger	stimulating	no
discourage;V;Ger	discouraging	no
require;V;Fin;3	requires	no
reduce;V;Fin;3	reduces	no
exist;V;Ger	existing	no
guarantee;V;Fin;3	guarantees	no
believe;V;Inf	believe	no
take;V;Past;Part	taken	no
achieve;V;Ger	achieving	no
guarantee;V;Inf	guarantee	no
incorporate;V;Inf	incorporate	no
promote;V;Inf	promote	no
promote;V;Ger	promoting	no
protect;V;Inf	protect	no
